rel_id	rel_en	rel_ar	rel_nho	rel_color1	rel_color
125	subj <<lel>>	اسم لعل	اسم لعل ل	Blue	cornflowerblue
126	pred <<lel>>	خبر لعل	خبر لعل ل	MediumOrchid	slategray
127	subj <<kad>>	اسم كاد	اسم كاد ل	Blue	cornflowerblue
128	pred <<kad>>	خبر كاد	خبر كاد ل	LightPink	slategray
129	subj <<akad>>	اسم اكاد	اسم اكاد ل	Blue	cornflowerblue
130	pred <<akad>>	خبر اكاد	خبر اكاد ل	LightPink	slategray
131	subj <<ykad>>	اسم يكاد	اسم يكاد ل	LightCoral	cornflowerblue
132	pred <<ykad>>	خبر يكاد	خبر يكاد ل	Salmon	slategray
133	subj <<tkad>>	اسم تكاد	اسم تكاد ل	Blue	cornflowerblue
134	pred <<tkad>>	خبر تكاد	خبر تكاد ل	MediumBlue	slategray
135	subj <<easaa>>	اسم عسى	اسم عسى ل	LightSalmon	cornflowerblue
136	pred <<easaa>>	خبر عسى	خبر عسى ل	Coral	slategray
137	root	root	root	wite	wite
138	NonRel	NonRel	NonRel	wite	wite
139	_	_	_	wite	wite
